time,junction_id,queue_length,avg_waiting_time
21.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
21.0,cluster1936499662_2629436073_621284871,2,1.0
21.0,cluster6616421101_6616421102,0,0.0
21.0,cluster1646746616_6430722657_7263291410,0,0.0
21.0,cluster1156127277_5346644809,0,0.0
22.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
22.0,cluster1936499662_2629436073_621284871,2,1.5
22.0,cluster6616421101_6616421102,0,0.0
22.0,cluster1646746616_6430722657_7263291410,0,0.0
22.0,cluster1156127277_5346644809,0,0.0
23.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
23.0,cluster1936499662_2629436073_621284871,2,2.0
23.0,cluster6616421101_6616421102,0,0.0
23.0,cluster1646746616_6430722657_7263291410,0,0.0
23.0,cluster1156127277_5346644809,0,0.0
24.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
24.0,cluster1936499662_2629436073_621284871,2,2.5
24.0,cluster6616421101_6616421102,0,0.0
24.0,cluster1646746616_6430722657_7263291410,0,0.0
24.0,cluster1156127277_5346644809,0,0.0
25.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
25.0,cluster1936499662_2629436073_621284871,3,3.25
25.0,cluster6616421101_6616421102,0,0.0
25.0,cluster1646746616_6430722657_7263291410,0,0.0
25.0,cluster1156127277_5346644809,0,0.0
26.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
26.0,cluster1936499662_2629436073_621284871,3,3.2
26.0,cluster6616421101_6616421102,0,0.0
26.0,cluster1646746616_6430722657_7263291410,0,0.0
26.0,cluster1156127277_5346644809,0,0.0
27.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
27.0,cluster1936499662_2629436073_621284871,3,3.17
27.0,cluster6616421101_6616421102,0,0.0
27.0,cluster1646746616_6430722657_7263291410,0,0.0
27.0,cluster1156127277_5346644809,0,0.0
28.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
28.0,cluster1936499662_2629436073_621284871,4,3.83
28.0,cluster6616421101_6616421102,0,0.0
28.0,cluster1646746616_6430722657_7263291410,0,0.0
28.0,cluster1156127277_5346644809,0,0.0
29.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
29.0,cluster1936499662_2629436073_621284871,4,3.86
29.0,cluster6616421101_6616421102,0,0.0
29.0,cluster1646746616_6430722657_7263291410,0,0.0
29.0,cluster1156127277_5346644809,0,0.0
30.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
30.0,cluster1936499662_2629436073_621284871,4,4.43
30.0,cluster6616421101_6616421102,0,0.0
30.0,cluster1646746616_6430722657_7263291410,0,0.0
30.0,cluster1156127277_5346644809,0,0.0
31.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
31.0,cluster1936499662_2629436073_621284871,4,4.38
31.0,cluster6616421101_6616421102,0,0.0
31.0,cluster1646746616_6430722657_7263291410,0,0.0
31.0,cluster1156127277_5346644809,0,0.0
32.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
32.0,cluster1936499662_2629436073_621284871,4,4.88
32.0,cluster6616421101_6616421102,0,0.0
32.0,cluster1646746616_6430722657_7263291410,0,0.0
32.0,cluster1156127277_5346644809,0,0.0
33.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
33.0,cluster1936499662_2629436073_621284871,4,5.38
33.0,cluster6616421101_6616421102,0,0.0
33.0,cluster1646746616_6430722657_7263291410,0,0.0
33.0,cluster1156127277_5346644809,0,0.0
34.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
34.0,cluster1936499662_2629436073_621284871,4,5.22
34.0,cluster6616421101_6616421102,0,0.0
34.0,cluster1646746616_6430722657_7263291410,0,0.0
34.0,cluster1156127277_5346644809,0,0.0
35.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
35.0,cluster1936499662_2629436073_621284871,4,5.67
35.0,cluster6616421101_6616421102,0,0.0
35.0,cluster1646746616_6430722657_7263291410,0,0.0
35.0,cluster1156127277_5346644809,0,0.0
36.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,0,0.0
36.0,cluster1936499662_2629436073_621284871,6,5.7
36.0,cluster6616421101_6616421102,0,0.0
36.0,cluster1646746616_6430722657_7263291410,0,0.0
36.0,cluster1156127277_5346644809,0,0.0
37.0,cluster13437517362_4374680526_4374680531_5346620503_#2more,1,1.0
37.0,cluster1936499662_2629436073_621284871,6,6.3
37.0,cluster6616421101_6616421102,0,0.0
