episode,junction,avg_reward,avg_queue,avg_wait,avg_pressure,avg_delta_q,avg_delta_w
0,J0_central,-2.7526408039049826,8.3125,34.19810455516709,0.4846250000000009,-0.010498359279609279,-0.0176611278146294
0,JN_north,-8.57115674740599,26.4725,27.643951340327312,1.7648749999999997,-0.011200445862503327,-0.011472649767129466
0,JS_south,-1.0506087333163463,2.7475,8.371497762654007,0.2663750000000001,-0.015277715340215341,-0.024530469028025404
0,JW_west,-4.724320561997987,14.555,40.43603894682183,0.8690000000000011,-0.010323020160975013,-0.012254371316946667
0,JE_east,-1.1275300888228863,3.0525,5.072105731074483,0.2831249999999996,-0.014577322391660623,-0.016479629152683414
1,J0_central,-2.6578170233096245,8.065,45.23684869297367,0.44024999999999914,-0.009857455044955044,-0.01481780792767061
1,JN_north,-9.159542863425367,28.415,34.14916310375299,1.7727500000000047,-0.011157429153119666,-0.01385790378492961
1,JS_south,-1.0038927751168183,2.6125,8.28184275446775,0.24862499999999965,-0.01559589715839716,-0.023930439617461823
1,JW_west,-4.205540396448468,12.895,35.91337057674935,0.8139999999999994,-0.010099584612141818,-0.011313781648923927
1,JE_east,-0.713718540441161,1.715,2.550295912420912,0.19550000000000015,-0.017785353535353536,-0.015963431337241523
2,J0_central,-2.2206222033400906,6.6575,44.45803003246741,0.3683749999999995,-0.010396735209235208,-0.01583956087977956
2,JN_north,-9.079215724294448,28.2375,38.186450647429794,1.69037500000001,-0.010648170091089213,-0.01340945171026334
2,JS_south,-1.4287154602196415,3.9725,9.867370192307693,0.31012500000000004,-0.014388555888555888,-0.025595855179197366
2,JW_west,-4.430373346473088,13.62,39.33320996084648,0.8425,-0.009848828027501135,-0.010792867958556315
2,JE_east,-1.8759999554199314,5.2425,8.04112301566898,0.39662499999999995,-0.023508257061565868,-0.022963849846815477
3,J0_central,-2.3095313543277762,6.8825,35.46543967143973,0.39862499999999906,-0.010856421356421352,-0.020354121926955435
3,JN_north,-8.308000315833523,25.6125,31.144897889363868,1.7291249999999976,-0.013708253798481918,-0.007629352064138428
3,JS_south,-1.190164975825334,3.06,8.508499528249532,0.27900000000000014,-0.021696699134199134,-0.02913431872074803
3,JW_west,-2.6119957831705114,7.8175,30.706697287911354,0.538875,-0.011660416921698719,-0.012534177924588035
3,JE_east,-0.6146346876995952,1.4725,3.449632561882562,0.18312500000000068,-0.013341637529137527,-0.014763078670531934
4,J0_central,-2.434024329347,7.35,40.83980068542584,0.3994999999999999,-0.009409840159840158,-0.014942466511765269
4,JN_north,-8.934709006424297,27.7225,34.61737192366971,1.7218750000000016,-0.011044545279089902,-0.013677049854586128
4,JS_south,-1.1464037175612716,2.935,9.267597866798237,0.26824999999999954,-0.020594409063159073,-0.03181849596289857
4,JW_west,-4.440201113427332,13.65,41.7965833528292,0.8297500000000002,-0.010303074333368007,-0.012970530720405415
4,JE_east,-1.7433030559450808,4.8075,8.08163475841969,0.3741250000000002,-0.022538362372921186,-0.02865203188039783
5,J0_central,-3.0239459845716334,9.13,35.55182718501606,0.5284999999999995,-0.011441315371075433,-0.019013766714663385
5,JN_north,-7.830183151992305,24.06,29.129595514807846,1.6809999999999963,-0.012135616934253735,-0.012161218289444543
5,JS_south,-1.4011408066895361,3.795,6.366434664804144,0.3412499999999998,-0.016911980122990188,-0.026411637666218173
5,JW_west,-3.612532047564627,10.9675,32.707157977174106,0.7303750000000002,-0.010839752786772912,-0.013044076444307948
5,JE_east,-1.679395961593687,4.6325,5.778510694779077,0.37862499999999977,-0.022436398729839116,-0.02049691860117011
6,J0_central,-2.3961279450428377,7.2125,45.41488603757348,0.40637500000000015,-0.010358835608835609,-0.015334785822169107
6,JN_north,-8.669378915971471,26.875,31.965653102681046,1.7402499999999983,-0.009484077709550603,-0.00833292810302305
6,JS_south,-1.1897416384563042,3.045,5.571995497557997,0.28850000000000003,-0.02188055694305694,-0.029785591261674717
6,JW_west,-2.146604822242552,6.3525,23.999712630485252,0.44287499999999974,-0.011392532100252685,-0.015155995261808339
6,JE_east,-1.27627045225679,3.5475,7.219151116448916,0.28587500000000043,-0.013246223955782772,-0.019654580630103745
7,J0_central,-2.8236973365609215,8.51,42.99771806135029,0.4800000000000005,-0.01194467093364152,-0.015873906644087447
7,JN_north,-7.329699774114593,22.28,21.48096965733264,1.6712500000000048,-0.01769025137410141,-0.015992087688401227
7,JS_south,-1.1590376663641322,2.9575,9.343831703019202,0.2643749999999997,-0.021047265234765238,-0.03167474916151197
7,JW_west,-4.118634672453574,12.6,37.09521181644567,0.8112499999999996,-0.00981212505229449,-0.011154852662409844
7,JE_east,-1.3436337063026866,3.5825,6.040490326666796,0.2948749999999998,-0.02190269554791613,-0.023509193347911767
8,J0_central,-2.2658572226390463,6.7775,42.3176942155067,0.37787500000000057,-0.01052011877011877,-0.01714169115235828
8,JN_north,-8.734535607246741,27.0775,32.48687862204501,1.7458750000000007,-0.00993713175335199,-0.008398605469872186
8,JS_south,-1.5426966847354153,4.18,9.091929265179267,0.34149999999999975,-0.0221204698079698,-0.027302049077664786
8,JW_west,-2.528441358845449,7.555,27.789531701206414,0.5162500000000004,-0.01169554725030731,-0.013774192526838164
8,JE_east,-0.5806569913090488,1.235,0.9409048937173943,0.1700000000000001,-0.020968344155844157,-0.0166375164947951
9,J0_central,-2.2423567061431573,6.71,44.50735055916302,0.3667499999999994,-0.01004680735930736,-0.020561527467193145
9,JN_north,-8.977351117635019,27.865,34.84189247253609,1.7170000000000019,-0.011014526498820254,-0.013792435211153788
9,JS_south,-1.2205413416353215,3.175,9.850319902319889,0.2710000000000007,-0.02087067099567099,-0.031147185969176393
9,JW_west,-4.303823255166201,13.205,33.85215552835558,0.8049999999999996,-0.010498159701606976,-0.014119420969775172
9,JE_east,-0.8404928011590544,2.195,4.521928952991458,0.21474999999999994,-0.013565871628371626,-0.014822414149291552
10,J0_central,-2.529433028179367,7.63,44.89907839382841,0.4307500000000011,-0.009487193362193364,-0.017881434177834162
10,JN_north,-8.88103080948572,27.5875,33.34374718690698,1.7331250000000085,-0.00944436906240907,-0.009323538724643138
10,JS_south,-0.9452359217175353,2.335,10.140125000000006,0.20525000000000004,-0.018516865079365077,-0.03580110479816151
